Affenpinscher
Grifón leonado de bretaña
Harrier
Hokkaido
Hovawart
Husky siberiano
Kai
Kerry blue terrier
King charles spaniel
Kishu
Komondor
Korea jindo dog
Kromfohrländer
Kuvasz
Labrador retriever
Laika de siberia occidental
Laika de siberia oriental
Laika ruso-europeo
Lakeland terrier
Landseer - tipo europeo continental
Lebrel afgano
Lebrel escocés
Lebrel húngaro 
Lebrel irlandés
Lebrel polaco
Leonberger
Lhasa apso
Lundehund noruego
Majorero
Malamute de alaska
Manchester terrier
Maneto
Mastiff
Mastín del pirineo
Mastín español
Mastín napolitano
Mudi
Nederlandse kooikerhondje
Norfolk terrier
Norwich terrier
Pachón navarro
Parson russell terrier
Pastor alemán
Pastor bergamasco
Pastor blanco suizo
Pastor de beauce
Pastor de brie
Pastor de karst
Pastor de los pirineos de cara rasa
Pastor de picardía
Pastor finlandés de laponia
Pastor holandés
Pekinés
Pembroke
Pequeño basset grifón vendeano
Pequeño lebrel italiano
Pequeño münsterländer
Pequeño perro león
Pequeño sabueso azul de gascuña
Perdiguero alemán
Perdiguero de burgos
Perdiguero de drente
Perdiguero frisón
Perdiguero portugués
Perro boyero de appenzell
Perro boyero de entlebuch
Perro cazador de alces sueco
Perro cobrador de nueva escocia
Perro corso italiano
Perro crestado chino
Perro crestado rodesiano
Perro de agua americano
Perro de agua de romagna
Perro de agua español
Perro de agua francés
Perro de agua frison
Perro de agua irlandés
Perro de agua portugués
Perro de castro laboreiro
Perro de groenlandia
Perro de la sierra de la estrela
Perro de montaña de los pirineos
Perro de montaña del atlas
Perro de muestra alemán de pelo cerdoso
Perro de muestra alemán de pelo duro
Perro de nutria
Perro de osos de carelia
Perro de pastor belga
Perro de pastor catalán
Perro de pastor de anatolia
Perro de pastor de la maremma y de los abruzos
Perro de pastor de rusia meridional
Perro de pastor garafiano
Perro de pastor islandés
Perro de pastor mallorquín
Perro de pastor polaco de las llanuras
Perro de pastor polaco de podhale
Perro de pastor portugués
Perro de pastor rumano de los cárpatos
Perro de pastor vasco
Perro de pastor yugoslavo de charplanina
Perro de taiwan
Perro del faraón
Perro finlandés de laponia
Perro lobo checoslovaco
Perro lobo de saarloos
Perro negro y fuego para la caza del mapache
Perro pastor australiano
Perro pastor croata
Perro pastor de asia central
Perro pastor de los pirineos de pelo largo
Perro pastor de shetland
Perro pastor del cáucaso
Perro pastor rumano de mioritza
Perro san bernardo
Perro sin pelo del Perú
Perro smous holandés
Perro sueco de laponia
Perro tejonero de westfalia
Perro tejonero sueco
Petit brabançon
Pinscher alemán
Pinscher austriaco
Pinscher miniatura
Podenco andaluz
Podenco canario
Podenco ibicenco
Podenco portugués
Podenco valenciano
Pointer inglés
Porcelaine
Presa canario
Pudelpointer
Puli
Pumi
Rafeiro del alentejo
Rastreador de hannover
Rastreador montañes de baviera
Ratonero valenciano
Ratonero-bodeguero andaluz
Rottweiler
Sabueso alemán
Sabueso anglo-francés de tamaño mediano
Sabueso artesiano
Sabueso austriaco negro y fuego
Sabueso de bosnia de pelo cerdoso-llamado barak
Sabueso de hygen
Sabueso de istria de pelo corto
Sabueso de istria de pelo duro
Sabueso de montaña del montenegro
Sabueso de Småland
Sabueso del ariege
Sabueso del tirol
Sabueso del valle de save
Sabueso eslovaco
Sabueso español
Sabueso estirio de pelo áspero
Sabueso finlandés
Sabueso francés blanco y naranja
Sabueso francés blanco y negro
Sabueso francés tricolor
Sabueso halden
Sabueso hamilton
Sabueso helénico
Sabueso húngaro - sabueso de transilvania
Sabueso italiano de pelo duro
Sabueso italiano de pelo raso
Sabueso noruego
Sabueso poitevin
Sabueso polaco
Sabueso schiller
Sabueso serbio
Sabueso suizo
Sabueso suizo pequeño
Sabueso tricolor serbio
Saluki
Samoyedo
Schapendoes neerlandés
Schipperke
Schnauzer
Schnauzer gigante
Schnauzer miniatura
Scottish terrier
Sealyham terrier
Setter inglés
Setter irlandés rojo
Setter irlandés rojo y blanco
Shar pei
Shiba
Shih tzu
Shikoku
Skye terrier
Sloughi
Soft coated wheaten terrier irlandés
Spaniel azul de picardia
Spaniel bretón
Spaniel continental enano de compañía
Spaniel de pont-audemer
Spaniel francés
Spaniel japonés
Spaniel picardo
Spaniel tibetano
Spitz alemán
Spitz de los visigodos - vallhund sueco
Spitz de norrbotten
Spitz finlandés
Spitz japonés
Springer spaniel galés
Springer spaniel inglés
Staffordshire bull terrier
Sussex spaniel
Tchuvatch eslovaco
Teckel
Terranova
Terrier brasileño
Terrier cazador alemán
Terrier checo
Terrier de juguete inglés - negro y fuego
Terrier glen de imaal irlandés
Terrier irlandés
Terrier jack russell
Terrier japonés
Terrier ruso negro
Terrier sedoso australiano
Terrier tibetano
Thai ridgeback dog
Tosa
Volpino italiano
Weimaraner
Welsh terrier
West highland white terrier
Whippet
Xoloitzcuintle
Yorkshire terrier
